world,bin_index,z_lo,z_hi,parameter,tolerance,years_accepted,years_refused
peak2,0,0.8,0.9,fs8,0.008767301771915504,5,0
peak2,1,0.9,1.0,aperp,0.08364410906439196,2,3
peak2,1,0.9,1.0,apar,0.24456407393800006,2,3
peak2,1,0.9,1.0,fs8,0.004656190736187181,5,0
peak2,2,1.0,1.1,aperp,0.06419141117202383,2,3
peak2,2,1.0,1.1,apar,0.0700957183856707,3,2
peak2,2,1.0,1.1,fs8,0.0036134335674028115,5,0
peak2,3,1.1,1.2,aperp,0.023985931682935113,2,3
peak2,3,1.1,1.2,apar,0.10234954092307634,1,4
peak2,3,1.1,1.2,fs8,0.0028614464063661284,5,0
peak2,4,1.2,1.3,aperp,0.01428345249907193,4,1
peak2,4,1.2,1.3,apar,0.013707526153429591,5,0
peak2,4,1.2,1.3,fs8,0.002428532303583761,5,0
peak2,5,1.3,1.4,aperp,0.014597304470895807,2,3
peak2,5,1.3,1.4,apar,0.07690111923188939,5,0
peak2,5,1.3,1.4,fs8,0.002214524208971842,5,0
peak2,6,1.4,1.5,aperp,0.015716198817353002,5,0
peak2,6,1.4,1.5,apar,0.0960928028289282,2,3
peak2,6,1.4,1.5,fs8,0.0020893522844648146,5,0
peak2,7,1.5,1.6,aperp,0.012472319337120584,3,2
peak2,7,1.5,1.6,apar,0.013716242739917405,4,1
peak2,7,1.5,1.6,fs8,0.0020742773823401437,5,0
peak2,8,1.6,1.7,aperp,0.00845922079460027,5,0
peak2,8,1.6,1.7,apar,0.013012925888130616,5,0
peak2,8,1.6,1.7,fs8,0.0021376954307237898,5,0
peak2,9,1.7,1.8,aperp,0.0343830163229855,3,2
peak2,9,1.7,1.8,apar,0.04613332593059253,3,2
peak2,9,1.7,1.8,fs8,0.002352829940130877,5,0
peak2,10,1.8,1.9,aperp,0.013699067424083253,5,0
peak2,10,1.8,1.9,apar,0.019683723888550865,5,0
peak2,10,1.8,1.9,fs8,0.002422392125680178,5,0
peak2,11,1.9,2.04,aperp,0.009635835358288136,5,0
peak2,11,1.9,2.04,apar,0.01347123736978879,5,0
peak2,11,1.9,2.04,fs8,0.002115694279540085,5,0
peak2,12,2.04,2.2,aperp,0.020473930493070943,2,3
peak2,12,2.04,2.2,apar,0.015514080447342328,2,3
peak2,12,2.04,2.2,fs8,0.0021534836128468352,5,0
peak2,13,2.2,2.355,aperp,0.14581347261331667,2,3
peak2,13,2.2,2.355,apar,0.02300021270891497,5,0
peak2,13,2.2,2.355,fs8,0.0024054752881245527,5,0
peak2,14,2.355,2.51,aperp,0.028843124004989965,1,4
peak2,14,2.355,2.51,apar,0.0242212055288273,5,0
peak2,14,2.355,2.51,fs8,0.002544081536519975,5,0
deployed,0,0.8,0.9,aperp,0.726835064847808,1,4
deployed,0,0.8,0.9,apar,nan,0,5
deployed,0,0.8,0.9,fs8,nan,0,5
deployed,1,0.9,1.0,aperp,0.02023053775858587,3,2
deployed,1,0.9,1.0,apar,0.027773368785681943,5,0
deployed,1,0.9,1.0,fs8,0.025843024502249755,5,0
deployed,2,1.0,1.1,aperp,0.021526235921278825,5,0
deployed,2,1.0,1.1,apar,0.05859505331841647,5,0
deployed,2,1.0,1.1,fs8,0.018054988097179113,5,0
deployed,3,1.1,1.2,aperp,0.030699772940753222,5,0
deployed,3,1.1,1.2,apar,0.04181709916460218,2,3
deployed,3,1.1,1.2,fs8,0.006339428932331943,5,0
deployed,4,1.2,1.3,aperp,0.011766190569656373,5,0
deployed,4,1.2,1.3,apar,0.026786677171523877,5,0
deployed,4,1.2,1.3,fs8,0.005349825775577041,5,0
deployed,5,1.3,1.4,aperp,0.011169142018813418,5,0
deployed,5,1.3,1.4,apar,0.011129770064622537,5,0
deployed,5,1.3,1.4,fs8,0.004614795820561457,5,0
deployed,6,1.4,1.5,aperp,0.008862050607527277,5,0
deployed,6,1.4,1.5,apar,0.008835289661451702,5,0
deployed,6,1.4,1.5,fs8,0.003690542536911136,5,0
deployed,7,1.5,1.6,aperp,0.05426856739902748,5,0
deployed,7,1.5,1.6,apar,0.04717814549661197,5,0
deployed,7,1.5,1.6,fs8,0.0029779863502133646,5,0
deployed,8,1.6,1.7,aperp,0.00802068206542172,5,0
deployed,8,1.6,1.7,apar,0.02194518036917183,4,1
deployed,8,1.6,1.7,fs8,0.002579996781707126,5,0
deployed,9,1.7,1.8,aperp,0.015963114632533047,3,2
deployed,9,1.7,1.8,apar,0.022381183352275597,1,4
deployed,9,1.7,1.8,fs8,0.0027822580042751372,5,0
deployed,10,1.8,1.9,aperp,0.023071545729557604,5,0
deployed,10,1.8,1.9,apar,0.015235843461215372,5,0
deployed,10,1.8,1.9,fs8,0.0027788084220120124,5,0
deployed,11,1.9,2.04,aperp,0.013614121004916827,5,0
deployed,11,1.9,2.04,apar,0.007501199285730633,5,0
deployed,11,1.9,2.04,fs8,0.002435137317092004,5,0
deployed,12,2.04,2.2,aperp,0.016779341049877418,5,0
deployed,12,2.04,2.2,apar,0.008987286726070206,5,0
deployed,12,2.04,2.2,fs8,0.002389447021342804,5,0
deployed,13,2.2,2.355,aperp,0.0972888980364942,5,0
deployed,13,2.2,2.355,apar,0.0154452922418821,5,0
deployed,13,2.2,2.355,fs8,0.0026261352263474438,5,0
deployed,14,2.355,2.51,aperp,0.022429228083789467,5,0
deployed,14,2.355,2.51,apar,0.18378606703874462,3,2
deployed,14,2.355,2.51,fs8,0.0027589258130147768,5,0
