config,sigma_nl_mpc,tau_cut_ns,kpar_min_mpc,kpar_min_h_at_z1p16,ttot_hours,sarea_deg2,nzbins,sigma_A,significance,sigma_apar,sigma_aperp
chime2025,4.9,280,0.33088,0.4915,385,2200,3,inf,0,inf,inf
chime2025,4.9,400,0.47268,0.70214,385,2200,3,inf,0,inf,inf
archive7yr,4.9,0,0,0,9327.02,31000,15,0.0191007,52.3541,0.00274984,0.00239104
archive7yr,4.9,30,0.035451,0.052661,9327.02,31000,15,0.0234046,42.7267,0.00298407,0.00366718
archive7yr,4.9,50,0.059085,0.087768,9327.02,31000,15,0.0295666,33.8219,0.00330111,0.00542911
archive7yr,4.9,75,0.088628,0.13165,9327.02,31000,15,0.0436026,22.9344,0.00406598,0.00957547
archive7yr,4.9,100,0.11817,0.17554,9327.02,31000,15,0.0708198,14.1203,0.00562066,0.0187443
archive7yr,4.9,110,0.12999,0.19309,9327.02,31000,15,0.0874605,11.4337,0.00662882,0.0251689
archive7yr,4.9,125,0.14771,0.21942,9327.02,31000,15,0.124503,8.03196,0.00871624,0.0402571
archive7yr,4.9,140,0.16544,0.24575,9327.02,31000,15,0.180863,5.52905,0.0119683,0.0655939
archive7yr,4.9,150,0.17726,0.2633,9327.02,31000,15,0.237594,4.20887,0.0150366,0.0926501
archive7yr,4.9,160,0.18907,0.28086,9327.02,31000,15,0.311309,3.21225,0.0193675,0.13313
archive7yr,4.9,175,0.2068,0.30719,9327.02,31000,15,0.49592,2.01645,0.0284242,0.230932
archive7yr,4.9,200,0.23634,0.35107,9327.02,31000,15,1.09233,0.915478,0.0562476,0.571182
archive7yr,4.9,280,0.33088,0.4915,9327.02,31000,15,23.0773,0.0433326,0.69414,13.0639
archive7yr,4.9,400,0.47268,0.70214,9327.02,31000,15,inf,0,inf,inf
archive7yr_accepted,4.9,0,0,0,3236.14,10755.9,15,0.0324271,30.8384,0.00466837,0.00405925
archive7yr_accepted,4.9,30,0.035451,0.052661,3236.14,10755.9,15,0.0397337,25.1676,0.00506602,0.00622573
archive7yr_accepted,4.9,50,0.059085,0.087768,3236.14,10755.9,15,0.0501949,19.9223,0.00560426,0.00921693
archive7yr_accepted,4.9,75,0.088628,0.13165,3236.14,10755.9,15,0.0740236,13.5092,0.00690276,0.0162562
archive7yr_accepted,4.9,100,0.11817,0.17554,3236.14,10755.9,15,0.12023,8.3174,0.00954213,0.0318221
archive7yr_accepted,4.9,110,0.12999,0.19309,3236.14,10755.9,15,0.148481,6.73488,0.0112537,0.042729
archive7yr_accepted,4.9,125,0.14771,0.21942,3236.14,10755.9,15,0.211367,4.73112,0.0147975,0.0683441
archive7yr_accepted,4.9,140,0.16544,0.24575,3236.14,10755.9,15,0.307049,3.25681,0.0203184,0.111358
archive7yr_accepted,4.9,150,0.17726,0.2633,3236.14,10755.9,15,0.40336,2.47918,0.0255274,0.157291
archive7yr_accepted,4.9,160,0.18907,0.28086,3236.14,10755.9,15,0.528505,1.89213,0.03288,0.226012
archive7yr_accepted,4.9,175,0.2068,0.30719,3236.14,10755.9,15,0.841918,1.18776,0.0482554,0.39205
archive7yr_accepted,4.9,200,0.23634,0.35107,3236.14,10755.9,15,1.85443,0.53925,0.0954909,0.969688
archive7yr_accepted,4.9,280,0.33088,0.4915,3236.14,10755.9,15,39.1781,0.0255245,1.17843,22.1784
archive7yr_accepted,4.9,400,0.47268,0.70214,3236.14,10755.9,15,inf,0,inf,inf
