config,tau_cut_ns,zbin,z_center,kpar_min_h,sigma_apar,sigma_aperp
archive7yr,75,0.9000-1.0000,0.95,0.1429,0.0171872,0.037282
archive7yr,75,1.0000-1.1000,1.05,0.13715,0.0171009,0.0363043
archive7yr,75,1.1000-1.2000,1.15,0.13212,0.0175225,0.0370163
archive7yr,75,1.2000-1.3000,1.25,0.12767,0.0184236,0.0398832
archive7yr,75,1.3000-1.4000,1.35,0.1237,0.0187851,0.0405514
archive7yr,75,1.4000-1.5000,1.45,0.12012,0.019496,0.0441801
archive7yr,75,1.5000-1.6000,1.55,0.11689,0.0193996,0.0430461
archive7yr,75,1.6000-1.7000,1.65,0.11394,0.0201827,0.0483571
archive7yr,75,1.7000-1.8000,1.75,0.11123,0.0206806,0.0499431
archive7yr,75,1.8000-1.9000,1.85,0.10874,0.0213714,0.0520619
archive7yr,75,1.9000-2.0400,1.97,0.10598,0.0191853,0.0504088
archive7yr,75,2.0400-2.2000,2.12,0.10286,0.0190309,0.0517049
archive7yr,75,2.2000-2.3550,2.2775,0.0999,0.0207229,0.0574994
archive7yr,75,2.3550-2.5100,2.4325,0.097251,0.0219634,0.0628111
archive7yr,100,0.8000-0.9000,0.85,0.19936,0.0288715,0.104362
archive7yr,100,0.9000-1.0000,0.95,0.19053,0.0299776,0.09568
archive7yr,100,1.0000-1.1000,1.05,0.18287,0.0290851,0.0886227
archive7yr,100,1.1000-1.2000,1.15,0.17616,0.0279032,0.0844972
archive7yr,100,1.2000-1.3000,1.25,0.17023,0.0270458,0.0837555
archive7yr,100,1.3000-1.4000,1.35,0.16493,0.0281526,0.0904896
archive7yr,100,1.4000-1.5000,1.45,0.16017,0.0288019,0.087322
archive7yr,100,1.5000-1.6000,1.55,0.15585,0.0298602,0.0934807
archive7yr,100,1.6000-1.7000,1.65,0.15191,0.0298957,0.100912
archive7yr,100,1.7000-1.8000,1.75,0.14831,0.0297296,0.0967562
archive7yr,100,1.8000-1.9000,1.85,0.14498,0.0308848,0.105785
archive7yr,100,1.9000-2.0400,1.97,0.14131,0.0264154,0.0979886
archive7yr,100,2.0400-2.2000,2.12,0.13715,0.0261833,0.100836
archive7yr,100,2.2000-2.3550,2.2775,0.1332,0.0280466,0.107992
archive7yr,100,2.3550-2.5100,2.4325,0.12967,0.0305807,0.130551
archive7yr,150,0.8000-0.9000,0.85,0.29904,inf,inf
archive7yr,150,0.9000-1.0000,0.95,0.28579,0.258402,3.03723
archive7yr,150,1.0000-1.1000,1.05,0.27431,0.136809,0.920221
archive7yr,150,1.1000-1.2000,1.15,0.26424,0.137575,0.902806
archive7yr,150,1.2000-1.3000,1.25,0.25534,0.13289,0.721185
archive7yr,150,1.3000-1.4000,1.35,0.24739,0.120146,0.71084
archive7yr,150,1.4000-1.5000,1.45,0.24025,0.0968694,0.537527
archive7yr,150,1.5000-1.6000,1.55,0.23377,0.0981068,0.601422
archive7yr,150,1.6000-1.7000,1.65,0.22787,0.0994741,0.561174
archive7yr,150,1.7000-1.8000,1.75,0.22246,0.100051,0.560824
archive7yr,150,1.8000-1.9000,1.85,0.21747,0.0999216,0.609712
archive7yr,150,1.9000-2.0400,1.97,0.21197,0.0772105,0.523472
archive7yr,150,2.0400-2.2000,2.12,0.20572,0.0687264,0.458609
archive7yr,150,2.2000-2.3550,2.2775,0.1998,0.0758976,0.578433
