ch,rho,m,f,r_fine,penalty
19,62,14.841113939020591,0.39921392476136996,0.011403180416346517,1.6834664152537506
19,63,14.841113939020591,0.39921392476136996,0.011403180416346517,1.6834664152537506
19,64,14.841113939020591,0.3991203443758188,0.011564717741580743,1.6834730686476453
19,65,14.841113939020591,0.3991203443758188,0.011564717741580743,1.6834730686476453
19,66,14.841113939020591,0.3991203443758188,0.011564717741580743,1.6834730686476453
19,67,14.841113939020591,0.3991203443758188,0.011564717741580743,1.6834730686476453
19,68,14.841113939020591,0.3991203443758188,0.011564717741580743,1.6834730686476453
19,69,14.841113939020591,0.3991203443758188,0.011564717741580743,1.6834730686476453
19,70,14.841113939020591,0.39897997379749206,0.011767158364039633,1.6834167153410866
19,71,14.841113939020591,0.3989331836047164,0.011811907890950416,1.6833601195271206
19,72,14.841113939020591,0.3989331836047164,0.011811907890950416,1.6833601195271206
19,73,10.626585691826111,0.4045947969305633,0.009974778858914499,1.6962814124772274
19,74,10.626585691826111,0.4045480067377878,0.010130571628233298,1.6964097577273773
19,75,10.626585691826111,0.4045480067377878,0.010130571628233298,1.6964097577273773
19,76,10.626585691826111,0.4045480067377878,0.010130571628233298,1.6964097577273773
19,77,10.626585691826111,0.4045480067377878,0.010130571628233298,1.6964097577273773
19,78,10.626585691826111,0.4044544263522366,0.010332025265878316,1.696481461657947
19,79,10.626585691826111,0.4044544263522366,0.010332025265878316,1.696481461657947
19,80,10.626585691826111,0.40440763615946096,0.010513360574946003,1.696652646885674
19,81,10.626585691826111,0.40440763615946096,0.010513360574946003,1.696652646885674
19,82,10.626585691826111,0.4043608459666854,0.010694855076624323,1.6968240724821382
19,83,10.626585691826111,0.4042204753883586,0.011173286023087958,1.6972273202611667
19,84,10.626585691826111,0.4042204753883586,0.011173286023087958,1.6972273202611667
19,85,10.626585691826111,0.40417368519558305,0.011173251155550856,1.6970939786160228
19,86,10.626585691826111,0.4041268950028074,0.011173090013982322,1.6969604459975525
19,87,10.626585691826111,0.4040333146172562,0.011357779037997853,1.697003882672536
19,88,10.626585691826111,0.4039865244244806,0.01135904416567753,1.696872781591212
19,89,10.626585691826111,0.40384615384615385,0.011880387093420576,1.6973477460921893
19,90,7.608884611337714,0.4094141867864496,0.00956803017329141,1.7094349501555686
19,91,7.608884611337714,0.4094141867864496,0.00956803017329141,1.7094349501555686
19,92,7.608884611337714,0.4094141867864496,0.00956803017329141,1.7094349501555686
19,93,7.608884611337714,0.4094141867864496,0.00956803017329141,1.7094349501555686
19,94,7.608884611337714,0.4093206064008984,0.009908018027794894,1.7097397149310862
19,95,7.608884611337714,0.4092270260153472,0.010284418722285325,1.7101060190822652
19,96,7.608884611337714,0.40918023582257157,0.010284217792838748,1.709970246508953
19,97,7.608884611337714,0.40913344562979603,0.010442994802943285,1.7101035543972525
19,98,7.608884611337714,0.408899494665918,0.011123611900182509,1.7105781551120638
19,99,7.608884611337714,0.40871233389481565,0.011512643004017628,1.7106946432129353
19,100,7.608884611337714,0.4085719633164888,0.011871279900507644,1.7108950153507632
