metric,zbin,scenario,planck_hours,pact_hours,planck_penalty,pact_penalty,relative_penalty_shift_pct
survey_5sigma,survey,clean,208.7825226550341,186.92137282188037,1.0,1.0,0.0
survey_5sigma,survey,legacy_rate_table,215.58398475011217,193.0020732002193,1.0325767789783629,1.0325307924211176,-0.004453572671936357
survey_5sigma,survey,uniform50_dtv,240.46934442671906,215.11009202886058,1.1517695129301617,1.1508052224388572,-0.08372252264703395
survey_5sigma,survey,uniform75_dtv,254.4782936717055,227.51989408889207,1.218867798106709,1.2171957152577653,-0.1371832820213248
survey_5sigma,survey,uniform97_dtv,262.18096696585974,234.330391099516,1.255761083982372,1.2536308050915732,-0.16964046091021423
survey_5sigma,survey,legacy_rate_table_fourier,215.96264460451252,193.33992528747197,1.0343904358380704,1.0343382480488623,-0.005045269890358028
survey_5sigma,survey,uniform25_dtv,224.58588642022468,201.00852014171096,1.075692943854798,1.0753640266340994,-0.030577240705875752
survey_5sigma,survey,uniform90_dtv,260.45909113775394,232.80878476324395,1.2475138619150785,1.2454904500679558,-0.16219554017753435
survey_5sigma,survey,uniform50_chime,417.56504531221515,373.8427456468473,2.0000000000102833,2.0000000000165126,3.114619673283414e-10
survey_5sigma,survey,ch30_excised,210.53561641024356,188.49140797257357,1.0083967457281187,1.00839944157798,0.000267340198467636
survey_5sigma,survey,ch30_kept,211.503014824507,189.35588021671134,1.0130302677392586,1.0130242323714949,-0.0005957736857409301
survey_5sigma,survey,ch30_kept_fourier,222.15713854851955,198.87184882210818,1.0640600358852068,1.0639331705080914,-0.01192276496032596
bin_5sigma,6,clean,1531.6506773921087,1360.6164520775221,1.0,1.0,0.0
bin_5sigma,6,legacy_rate_table,2059.533960053244,1830.0108363151112,1.3446499194972739,1.3449865562928274,0.025035274287543707
bin_5sigma,6,uniform50_dtv,3063.301354784218,2721.2329041550443,2.0000000000000004,2.0,-2.220446049250313e-14
bin_5sigma,6,uniform75_dtv,6126.60270956843,5442.465808310089,3.999999999999997,4.000000000000001,1.1102230246251565e-13
bin_5sigma,6,uniform97_dtv,51055.02257978606,45353.88173598681,33.333333333365395,33.333333333384346,5.6843418860808015e-11
bin_5sigma,6,legacy_rate_table_fourier,2072.192848857909,1841.258965321677,1.3529147862789208,1.3532534922022021,0.025035273966733662
bin_5sigma,6,uniform25_dtv,2042.2009031894781,1814.1552694366958,1.3333333333333333,1.333333333333333,-2.220446049250313e-14
bin_5sigma,6,uniform90_dtv,15316.506773921103,13606.164520775234,10.00000000000001,10.000000000000009,-2.220446049250313e-14
bin_5sigma,6,uniform50_chime,3063.301354784218,2721.2329041550443,2.0000000000000004,2.0,-2.220446049250313e-14
bin_5sigma,6,ch30_excised,1758.2159849304012,1562.2730032195727,1.1479223108000434,1.1482096962991604,0.025035274287565912
bin_5sigma,6,ch30_kept,1817.4277216715418,1614.4817451316399,1.1865810843801645,1.1865810843801656,8.881784197001252e-14
bin_5sigma,6,ch30_kept_fourier,9559.674721747366,8492.178337338488,6.241419706759971,6.241419706759976,8.881784197001252e-14
da_2pct,6,clean,2755.2821454356754,2469.779359221686,1.0,1.0,0.0
da_2pct,6,legacy_rate_table,3687.9942917949174,3304.756423169282,1.3385178348810294,1.3380775941907324,-0.03289016244868437
da_2pct,6,uniform50_dtv,5510.564290871352,4939.558718443372,2.0000000000000004,2.0,-2.220446049250313e-14
da_2pct,6,uniform75_dtv,11021.128581608347,9879.117436718487,3.9999999999512377,3.999999999931874,-4.84090545427307e-10
da_2pct,6,uniform97_dtv,91842.73818107044,82325.97864065279,33.33333333329024,33.333333333304964,4.416467191958873e-11
da_2pct,6,legacy_rate_table_fourier,3710.6624830697633,3325.069049674737,1.3467450109299133,1.3463020642955665,-0.032890163375531856
da_2pct,6,uniform25_dtv,3673.7095272475667,3293.039145628917,1.3333333333333333,1.3333333333333344,8.881784197001252e-14
da_2pct,6,uniform90_dtv,27552.821454356752,24697.793592216858,10.0,10.0,0.0
da_2pct,6,uniform50_chime,5510.564290871352,4939.558718443372,2.0000000000000004,2.0,-2.220446049250313e-14
da_2pct,6,ch30_excised,3148.426120682713,2821.2574700163523,1.1426873744666437,1.1423115427223547,-0.03289016337162387
da_2pct,6,ch30_kept,3269.3656759043697,2930.5934702450186,1.1865810843801645,1.1865810843801656,8.881784197001252e-14
da_2pct,6,ch30_kept_fourier,17196.872280206117,15414.929563995242,6.241419706759971,6.24141970675997,-1.1102230246251565e-14
bin_5sigma,8,clean,1834.3801574172908,1629.416755335919,1.0,1.0,0.0
bin_5sigma,8,legacy_rate_table,2501.808954998167,2212.9418705117723,1.36384431813773,1.3581190099248452,-0.4197919173577258
bin_5sigma,8,uniform50_dtv,3668.7603147512727,3258.8335106717254,1.9999999999545848,1.9999999999999307,2.2672974608894947e-09
bin_5sigma,8,uniform75_dtv,7337.520629514814,6517.667021341639,3.9999999999158575,3.99999999999875,2.0723200933048247e-09
