# 087bb88aa1dda9cdfed7d1558d5a4c2ab8056c1288aab0fb24fe21f4f82d4670#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6832,"mnu":0.06,"ns":0.9742,"ombh2":0.022506,"omch2":0.11755,"omnuh2":0.000644883920894239,"sigma_8":0.8117},"data_sha256":"468d0f6b5dc2a91da3fafb72822b8bedb754c8f822c6c072aae47f7c1a343623","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.4"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.124260898168007389e-03 1.980498789524111999e+04
1.134112827722567191e-03 1.996148618197454925e+04
1.144051090010130521e-03 2.011906517711505148e+04
1.154076441566841008e-03 2.027772925461140767e+04
1.164189645558389233e-03 2.043748277387945200e+04
1.174391471838106670e-03 2.059833006278803805e+04
1.184682697005572886e-03 2.076027541672431471e+04
1.195064104465730576e-03 2.092332309764988167e+04
1.205536484488521892e-03 2.108747733317352686e+04
1.216100634269045612e-03 2.125274231560904445e+04
1.226757357988243844e-03 2.141912220096154124e+04
1.237507466874119113e-03 2.158662110794005275e+04
1.248351779263487263e-03 2.175524311696605218e+04
1.259291120664273117e-03 2.192499225767147436e+04
1.270326323818348445e-03 2.209587233043191736e+04
1.281458228764927000e-03 2.226788693351020265e+04
1.292687682904509246e-03 2.244103960715263383e+04
1.304015541063390220e-03 2.261533383674357901e+04
1.315442665558729223e-03 2.279077305156877264e+04
1.326969926264198046e-03 2.296736065229888118e+04
1.338598200676193633e-03 2.314510015439895142e+04
1.350328373980639023e-03 2.332399508382744898e+04
1.362161339120367175e-03 2.350404891381806374e+04
1.374097996863091111e-03 2.368526506362781583e+04
1.386139255869978408e-03 2.386764689718145019e+04
1.398286032764820041e-03 2.405119764667613344e+04
1.410539252203806817e-03 2.423592029344764887e+04
1.422899846945914915e-03 2.442181772214912780e+04
1.435368757923916570e-03 2.460889274828495763e+04
1.447946934316002906e-03 2.479714811685582026e+04
1.460635333618040153e-03 2.498658649983499345e+04
1.473434921716456226e-03 2.517721046097431463e+04
1.486346672961770662e-03 2.536902244787415475e+04
1.499371570242762292e-03 2.556202482752861761e+04
1.512510605061292415e-03 2.575621988706353295e+04
1.525764777607781317e-03 2.595160983228925033e+04
1.539135096837343335e-03 2.614819678426601968e+04
1.552622580546597370e-03 2.634598276160426030e+04
1.566228255451140730e-03 2.654496968682041188e+04
1.579953157263709693e-03 2.674515939423263626e+04
1.593798330773017920e-03 2.694655362854632040e+04
1.607764829923292657e-03 2.714915404334097911e+04
1.621853717894504616e-03 2.735296218258482986e+04
1.636066067183299328e-03 2.755797943227295400e+04
1.650402959684640599e-03 2.776420706552441334e+04
1.664865486774167380e-03 2.797164625531851925e+04
1.679454749391273791e-03 2.818029807290320241e+04
1.694171858122917301e-03 2.839016348561557970e+04
1.709017933288160037e-03 2.860124331580212674e+04
1.723994105023449099e-03 2.881353821240443358e+04
1.739101513368650816e-03 2.902704870695109275e+04
1.754341308353832458e-03 2.924177521778169103e+04
1.769714650086806357e-03 2.945771804836881711e+04
1.785222708841440993e-03 2.967487738149645156e+04
1.800866665146748802e-03 2.989325322031458199e+04
1.816647709876750274e-03 3.011284539914914785e+04
1.832567044341127781e-03 3.033365362617720530e+04
1.848625880376675431e-03 3.055567748282749017e+04
1.864825440439544070e-03 3.077891642202778166e+04
1.881166957698303995e-03 3.100336974998024380e+04
1.897651676127815610e-03 3.122903654894420833e+04
1.914280850603926028e-03 3.145591573267924468e+04
1.931055746998992708e-03 3.168400607526415479e+04
1.947977642278249290e-03 3.191330620929950237e+04
1.965047824597011047e-03 3.214381462412223846e+04
1.982267593398734460e-03 3.237552967420316418e+04
1.999638259513935278e-03 3.260844959153971649e+04
2.017161145259971540e-03 3.284257246381735604e+04
2.034837584541706983e-03 3.307789622921497357e+04
2.052668922953051339e-03 3.331441867458888737e+04
2.070656517879390993e-03 3.355213742651334178e+04
2.088801738600915177e-03 3.379104976724557491e+04
2.107105966396857679e-03 3.403115261195620405e+04
2.125570594650639297e-03 3.427244269561466353e+04
2.144197028955937504e-03 3.451491658092629950e+04
2.162986687223688535e-03 3.475857065638426138e+04
2.181940999790017537e-03 3.500340113297161588e+04
2.201061409525129336e-03 3.524940403209731448e+04
2.220349371943138549e-03 3.549657518904128665e+04
2.239806355312871575e-03 3.574491025656330748e+04
2.259433840769632662e-03 3.599440470301853929e+04
2.279233322427959198e-03 3.624505381043302623e+04
2.299206307495354085e-03 3.649685263990624662e+04
2.319354316387023385e-03 3.674979594846525288e+04
2.339678882841610130e-03 3.700387827265309897e+04
2.360181554037955962e-03 3.725909395033176406e+04
2.380863890712871505e-03 3.751543711875587906e+04
2.401727467279947577e-03 3.777290171128218935e+04
2.422773871949408103e-03 3.803148137782060803e+04
2.444004706849001694e-03 3.829116943879718019e+04
2.465421588145971354e-03 3.855195899071838357e+04
2.487026146170078032e-03 3.881384291418432986e+04
2.508820025537708814e-03 3.907681387198109587e+04
2.530804885277065409e-03 3.934086429876667535e+04
2.552982398954464164e-03 3.960598629429411085e+04
2.575354254801728079e-03 3.987217165056497470e+04
2.597922155844703800e-03 4.013941192708682502e+04
2.620687820032900975e-03 4.040769845070371957e+04
2.643652980370264378e-03 4.067702231374663097e+04
2.666819385047107006e-03 4.094737434953569755e+04
2.690188797573177248e-03 4.121874503614693094e+04
2.713762996911912168e-03 4.149112457072173129e+04
2.737543777615852620e-03 4.176450290400381346e+04
2.761532949963251861e-03 4.203886973858286365e+04
2.785732340095886314e-03 4.231421452645113459e+04
2.810143790158062000e-03 4.259052633317020809e+04
2.834769158436844377e-03 4.286779367173471110e+04
2.859610319503521139e-03 4.314600474974132521e+04
2.884669164356302735e-03 4.342514750586679293e+04
2.909947600564267989e-03 4.370520960817513696e+04
2.935447552412576936e-03 4.398617845717479213e+04
2.961170961048951739e-03 4.426804128980136011e+04
2.987119784631449976e-03 4.455078518204204738e+04
3.013295998477520752e-03 4.483439694361909642e+04
3.039701595214376172e-03 4.511886311172658316e+04
3.066338584930672091e-03 4.540416994961396995e+04
3.093208995329532404e-03 4.569030337971389963e+04
3.120314871882897377e-03 4.597724853814089875e+04
3.147658277987235888e-03 4.626499003107810859e+04
3.175241295120617702e-03 4.655351216381084669e+04
3.203066023001157909e-03 4.684279894068794238e+04
3.231134579746867790e-03 4.713283406381181703e+04
3.259449102036881315e-03 4.742360083610963193e+04
3.288011745274112795e-03 4.771508194667416683e+04
3.316824683749329192e-03 4.800725970764931844e+04
3.345890110806670932e-03 4.830011611297151831e+04
3.375210239010613400e-03 4.859363283731129195e+04
3.404787300314398180e-03 4.888779124776855315e+04
3.434623546229930140e-03 4.918257300449689501e+04
3.464721247999179819e-03 4.947796033918714238e+04
3.495082696767073775e-03 4.977393526430441852e+04
3.525710203755904985e-03 5.007047950667958503e+04
3.556606100441273271e-03 5.036757450702638016e+04
3.587772738729558784e-03 5.066520093314149563e+04
3.619212491136967590e-03 5.096333321829967463e+04
3.650927750970131992e-03 5.126194138343392842e+04
3.682920932508294658e-03 5.156099484568295884e+04
3.715194471187092604e-03 5.186046248806451331e+04
3.747750823783955760e-03 5.216031265861265274e+04
3.780592468605127512e-03 5.246051862843944400e+04
3.813721905674309371e-03 5.276107922111096559e+04
3.847141656922980959e-03 5.306200115282717888e+04
3.880854266382387490e-03 5.336329149885538936e+04
3.914862300377181317e-03 5.366495769457823189e+04
3.949168347720786489e-03 5.396700735556716245e+04
3.983775019912485019e-03 5.426942222595013300e+04
4.018684951336184107e-03 5.457213022919217474e+04
4.053900799460983563e-03 5.487505133782862686e+04
4.089425245043451507e-03 5.517810396513791056e+04
4.125260992331696366e-03 5.548120496424113662e+04
4.161410769271242996e-03 5.578427177448053408e+04
4.197877327712660860e-03 5.608726499220739788e+04
4.234663443621079597e-03 5.639018697257086023e+04
4.271771917287475739e-03 5.669304209352651378e+04
4.309205573541855482e-03 5.699583513643070182e+04
4.346967261968297941e-03 5.729857128747626120e+04
4.385059857121858043e-03 5.760125165380584076e+04
4.423486258747394949e-03 5.790384561248325917e+04
4.462249392000324291e-03 5.820630823715672159e+04
4.501352207669267330e-03 5.850859390240225912e+04
4.540797682400697644e-03 5.881065634134986612e+04
4.580588818925520299e-03 5.911244865239359206e+04
4.620728646287649427e-03 5.941392824874933285e+04
4.661220220074611086e-03 5.971506672759049980e+04
4.702066622650109828e-03 6.001583817579926108e+04
4.743270963388709037e-03 6.031621650590207719e+04
4.784836378912494040e-03 6.061617545869797323e+04
4.826766033329856799e-03 6.091568820495649561e+04
4.869063118476373540e-03 6.121471120015125780e+04
4.911730854157747572e-03 6.151317828979771002e+04
4.954772488394932652e-03 6.181102086211407732e+04
4.998191297671396131e-03 6.210816936479919968e+04
5.041990587182495868e-03 6.240455331293236668e+04
5.086173691087133089e-03 6.270010507154897641e+04
5.130743972761520749e-03 6.299479814018055913e+04
5.175704825055231321e-03 6.328863220668165013e+04
5.221059670549486713e-03 6.358160779478998302e+04
5.266811961817663423e-03 6.387372587383487553e+04
5.312965181688153460e-03 6.416498785860358475e+04
5.359522843509459573e-03 6.445538466911680007e+04
5.406488491417651455e-03 6.474485930999506672e+04
5.453865700606179423e-03 6.503334092643306940e+04
5.501658077597992684e-03 6.532075782812069519e+04
5.549869260520119175e-03 6.560703750053497788e+04
5.598502919380585544e-03 6.589210670427275181e+04
5.647562756347797829e-03 6.617590117329494387e+04
5.697052506032377651e-03 6.645837462459450762e+04
5.746975935771438289e-03 6.673948256636348378e+04
