channel,era,eta_basis,masked_fraction,r_over_rtol,best_cost_masked_fraction,best_cost_r_over_rtol,tau_seconds,tau_quality,floor_basis,floor_era,floor_frames,floor_db,r_tol_dilation,r_eta1_adopted,r_cost_adopted,product_file,product_sha256,product_schema,detector_version,generator_sha256,analysis_source_sha256
32,2023-02..2026-07,eta_mu_1,0.7056423174,10.71801393,0.05602015113,4.852060893,300,bounded_above,quiet_era_p90,2023-02..2026-07,14527,-31.53203804,0.0156,0.1672010173,0.07569214993,568.npz,99ad816a828ea8c29e7e5551a34cda7413a95b25afc7d42d0a3ed9d078e0d4da,pilotproxy_detector_datatrawl_v3,pilot-proxy/1.0.0 source=9317d5be23a309e1226dbb5b1b2c5cc950f3aef71ec54cb89e034b1ae921d0ce kernel=2.1.0 kernel_sha256=c85f50ddf898517bc0101d1882c854c3df70b09f0ab0b58803dc32f59e3c6d12 pilotproxy_detector_datatrawl_v3 K=128,2c188cd7a1689b088c0d80406507b145283b02aa38bdfcc9e0d305f72a484029,5c92cea44fa00c495a71a304467614f978c2af16e67d0c6881890d89d21c893e
35,2021-11..2026-07,eta_mu_1,0.4805376645,119.2723256,0.01351162139,134.4888448,2767.651212,measured,quiet_era_p90,2018-12..2021-10,3359,-24.98298361,0.0352,4.198385861,4.734007338,521.npz,9f3e63e5ad81ba39d085abe5f725cc5c53d9d7a175724158c6d84230f7e1a38f,pilotproxy_detector_datatrawl_v3,pilot-proxy/0.3.0.dev0 source=02066f1d6337a3e1f05bba57f37f2196cb35ecd686b497ac418874542d70d086 kernel=2.1.0 kernel_sha256=c85f50ddf898517bc0101d1882c854c3df70b09f0ab0b58803dc32f59e3c6d12 pilotproxy_detector_datatrawl_v3 K=128,2c188cd7a1689b088c0d80406507b145283b02aa38bdfcc9e0d305f72a484029,5c92cea44fa00c495a71a304467614f978c2af16e67d0c6881890d89d21c893e
